algorithm_name,len_universe,len_X,len_F,len_G,exe_time(algo),exetime
algorithm 1_poly,50,3,8199,8274,0.05903911590576172,0.21413588523864746
algorithm 1_poly,50,3,8276,8305,0.06203937530517578,0.17954039573669434
algorithm 1_poly,1050,3,7764,7623,0.22274398803710938,0.3772897720336914
algorithm 1_poly,2050,3,7723,7703,0.9173781871795654,0.9756765365600586
algorithm 1_poly,3050,3,7759,7700,3.0569252967834473,3.111140727996826
algorithm 1_poly,4050,3,7637,7677,6.876981019973755,6.99351692199707
algorithm 1_poly,5050,3,7807,7550,15.243871927261353,15.299880504608154
algorithm 1_poly,6050,3,7733,7614,29.584292888641357,29.63831353187561
algorithm 1_poly,7050,3,7618,7627,45.26930379867554,45.43586349487305
algorithm 1_poly,8050,3,7761,7739,60.34225821495056,60.40677618980408
algorithm 1_poly,9050,3,7742,7545,78.33749318122864,78.3886046409607
algorithm 1_poly,50,3,8336,8191,0.06601214408874512,0.19727063179016113
algorithm 1_poly,1050,3,7757,7724,0.2211744785308838,0.2711925506591797
algorithm 1_poly,2050,3,7646,7862,0.883659839630127,1.0477275848388672
algorithm 1_poly,3050,3,7677,7787,3.087714433670044,3.141284465789795
algorithm 1_poly,4050,3,7672,7758,6.888742685317993,7.028887987136841
algorithm 1_poly,5050,3,7656,7635,15.911004304885864,15.966367244720459
algorithm 1_poly,6050,3,7612,7681,28.635810613632202,28.760135173797607
algorithm 1_poly,7050,3,7674,7689,45.02639722824097,45.15533208847046
algorithm 1_poly,8050,3,7618,7685,60.87863373756409,61.00922870635986
algorithm 1_poly,9050,3,7683,7708,81.1084635257721,81.15827822685242
algorithm 1_poly,50,3,8347,8357,0.05900001525878906,0.18627452850341797
algorithm 1_poly,1050,3,7584,7734,0.24118638038635254,0.29469823837280273
algorithm 1_poly,2050,3,7670,7655,0.9454951286315918,1.0710690021514893
algorithm 1_poly,3050,3,7693,7710,3.0419833660125732,3.0955352783203125
algorithm 1_poly,4050,3,7637,7629,7.016197443008423,7.149786949157715
algorithm 1_poly,5050,3,7585,7646,16.53426766395569,16.585787296295166
algorithm 1_poly,6050,3,7749,7604,28.371222496032715,28.506791353225708
algorithm 1_poly,7050,3,7738,7768,44.60368871688843,44.653212547302246
algorithm 1_poly,8050,3,7686,7730,62.18819880485535,62.24472999572754
algorithm 1_poly,9050,3,7726,7769,77.49527716636658,77.61658453941345
algorithm 1_poly,50,3,8140,8275,0.060563087463378906,0.1902148723602295
algorithm 1_poly,1050,3,7684,7700,0.2266397476196289,0.28224873542785645
algorithm 1_poly,2050,3,7660,7654,0.9025523662567139,1.0355894565582275
algorithm 1_poly,3050,3,7675,7624,2.8392529487609863,2.890873908996582
algorithm 1_poly,4050,3,7622,7700,6.902963876724243,7.047391653060913
algorithm 1_poly,5050,3,7739,7714,15.755175828933716,15.804705142974854
algorithm 1_poly,6050,3,7773,7725,29.02266263961792,29.073888778686523
algorithm 1_poly,7050,3,7585,7730,45.78678035736084,45.92150378227234
algorithm 1_poly,8050,3,7518,7715,59.58963441848755,59.70725440979004
algorithm 1_poly,9050,3,7598,7869,77.36539649963379,77.4204113483429
algorithm 1_poly,50,3,8446,8096,0.062032222747802734,0.1885998249053955
algorithm 1_poly,1050,3,7601,7664,0.23382282257080078,0.2848212718963623
algorithm 1_poly,2050,3,7697,7753,0.845097541809082,0.9671921730041504
algorithm 1_poly,3050,3,7726,7734,3.0114357471466064,3.0624477863311768
algorithm 1_poly,4050,3,7718,7616,6.659570932388306,6.787343502044678
algorithm 1_poly,5050,3,7685,7698,16.186378717422485,16.24091124534607
algorithm 1_poly,6050,3,7765,7748,28.604247093200684,28.73178791999817
algorithm 1_poly,7050,3,7763,7759,44.41334939002991,44.577266693115234
algorithm 1_poly,8050,3,7672,7747,60.80748891830444,60.94445872306824
algorithm 1_poly,9050,3,7661,7729,76.12906050682068,76.1800537109375
algorithm 1_poly,50,3,8255,8235,0.07243156433105469,0.21930670738220215
algorithm 1_poly,1050,3,7798,7534,0.2309107780456543,0.29145121574401855
algorithm 1_poly,2050,3,7648,7723,0.93218994140625,1.0559029579162598
algorithm 1_poly,3050,3,7640,7695,2.849438428878784,2.8989994525909424
algorithm 1_poly,4050,3,7620,7722,7.090297222137451,7.141869306564331
algorithm 1_poly,5050,3,7774,7690,16.6232430934906,16.67724108695984
algorithm 1_poly,6050,3,7771,7695,28.754693031311035,28.80499005317688
algorithm 1_poly,7050,3,7816,7726,44.56776261329651,44.69434428215027
algorithm 1_poly,8050,3,7710,7785,62.75437593460083,62.806257247924805
algorithm 1_poly,9050,3,7643,7610,79.27086114883423,79.3994791507721
algorithm 1_poly,50,3,8224,8243,0.059008121490478516,0.188584566116333
algorithm 1_poly,1050,3,7670,7675,0.24096035957336426,0.29695868492126465
algorithm 1_poly,2050,3,7598,7742,0.7718539237976074,0.8208515644073486
algorithm 1_poly,3050,3,7841,7692,2.8182013034820557,2.932812213897705
algorithm 1_poly,4050,3,7624,7653,6.74089789390564,6.794920444488525
algorithm 1_poly,5050,3,7529,7784,16.510682582855225,16.631191968917847
algorithm 1_poly,6050,3,7605,7696,29.548763751983643,29.67233967781067
algorithm 1_poly,7050,3,7658,7725,46.79039287567139,46.84240508079529
algorithm 1_poly,8050,3,7736,7652,65.556800365448,65.67410063743591
algorithm 1_poly,9050,3,7604,7737,66.58036589622498,66.62911415100098
algorithm 1_poly,50,3,8322,8180,0.06254029273986816,0.18413209915161133
algorithm 1_poly,1050,3,7804,7707,0.23273563385009766,0.2811117172241211
algorithm 1_poly,2050,3,7616,7720,0.8261716365814209,0.874936580657959
algorithm 1_poly,3050,3,7618,7785,3.1339752674102783,3.233567714691162
algorithm 1_poly,4050,3,7675,7784,6.832682371139526,6.8822290897369385
algorithm 1_poly,5050,3,7884,7571,14.820496797561646,14.92312479019165
algorithm 1_poly,6050,3,7610,7763,26.331254243850708,26.378276586532593
algorithm 1_poly,7050,3,7690,7767,41.436914920806885,41.48524880409241
algorithm 1_poly,8050,3,7753,7624,54.69748067855835,54.74647545814514
algorithm 1_poly,9050,3,7737,7689,68.900071144104,69.0086498260498
algorithm 1_poly,50,3,8152,8375,0.06451606750488281,0.11706709861755371
algorithm 1_poly,1050,3,7739,7786,0.23720002174377441,0.3478982448577881
algorithm 1_poly,2050,3,7748,7677,0.8440208435058594,0.8935189247131348
algorithm 1_poly,3050,3,7633,7716,3.1120035648345947,3.2256274223327637
algorithm 1_poly,4050,3,7779,7607,6.586030960083008,6.6350626945495605
algorithm 1_poly,5050,3,7595,7820,15.019778490066528,15.134414434432983
algorithm 1_poly,6050,3,7756,7661,26.92297124862671,27.027597904205322
algorithm 1_poly,7050,3,7776,7708,40.35112261772156,40.40213179588318
algorithm 1_poly,8050,3,7697,7670,54.67724108695984,54.78675603866577
algorithm 1_poly,9050,3,7645,7662,67.7805655002594,67.9013192653656
algorithm 1_poly,50,3,8350,8168,0.07027912139892578,0.19024395942687988
algorithm 1_poly,1050,3,7711,7703,0.2431643009185791,0.2957448959350586
algorithm 1_poly,2050,3,7789,7658,0.8402771949768066,0.9509117603302002
algorithm 1_poly,3050,3,7602,7735,2.9320268630981445,2.98201847076416
algorithm 1_poly,4050,3,7617,7744,6.596284866333008,6.716187000274658
algorithm 1_poly,5050,3,7752,7624,14.898067712783813,14.94568133354187
algorithm 1_poly,6050,3,7636,7640,27.736316442489624,27.78428864479065
algorithm 1_poly,7050,3,7648,7672,43.70068979263306,43.74921250343323
algorithm 1_poly,8050,3,7754,7736,54.212955713272095,54.322553634643555
algorithm 1_poly,9050,3,7725,7670,67.4457459449768,67.49772787094116
